날짜,종가,오픈,고가,저가,변동 %
2022년 02월 28일,"1,200.12","1,207.65","1,208.97","1,200.76",0.21%
2022년 02월 25일,"1,197.57","1,206.11","1,206.90","1,197.73",-0.70%
2022년 02월 24일,"1,206.05","1,192.60","1,211.47","1,191.93",1.14%
2022년 02월 23일,"1,192.44","1,193.03","1,194.34","1,189.64",0.05%
2022년 02월 22일,"1,191.90","1,194.60","1,196.60","1,190.74",-0.15%
2022년 02월 21일,"1,193.68","1,198.30","1,199.72","1,189.73",-0.16%
2022년 02월 18일,"1,195.59","1,198.76","1,199.55","1,192.95",-0.25%
2022년 02월 17일,"1,198.63","1,196.69","1,200.06","1,194.44",0.18%
2022년 02월 16일,"1,196.53","1,196.86","1,199.57","1,195.22",-0.02%
2022년 02월 15일,"1,196.76","1,197.44","1,200.59","1,195.29",-0.05%
2022년 02월 14일,"1,197.32","1,200.10","1,200.17","1,193.93",-0.18%
2022년 02월 11일,"1,199.48","1,200.10","1,201.87","1,193.23",-0.03%
2022년 02월 10일,"1,199.83","1,194.17","1,200.65","1,193.42",0.48%
2022년 02월 09일,"1,194.05","1,196.40","1,197.47","1,193.02",-0.19%
2022년 02월 08일,"1,196.35","1,196.92","1,200.38","1,196.21",-0.04%
2022년 02월 07일,"1,196.87","1,199.00","1,201.09","1,196.72",-0.12%
2022년 02월 04일,"1,198.25","1,200.65","1,202.05","1,196.81",-0.10%
2022년 02월 03일,"1,199.47","1,200.36","1,207.19","1,198.68",0.00%
2022년 02월 02일,"1,199.46","1,202.47","1,204.41","1,198.82",-0.24%
2022년 02월 01일,"1,202.31","1,204.75","1,208.01","1,201.61",-0.19%
