날짜,종가,오픈,고가,저가,변동 %
2022년 01월 31일,"1,204.63","1,209.71","1,212.92","1,204.20",-0.41%
2022년 01월 28일,"1,209.56","1,203.82","1,213.86","1,203.65",0.48%
2022년 01월 27일,"1,203.77","1,200.75","1,205.79","1,200.15",0.56%
2022년 01월 26일,"1,197.03","1,196.35","1,198.51","1,194.29",0.06%
2022년 01월 25일,"1,196.35","1,195.69","1,199.93","1,195.17",0.06%
2022년 01월 24일,"1,195.59","1,193.30","1,197.90","1,192.49",0.26%
2022년 01월 21일,"1,192.51","1,192.49","1,195.05","1,190.14",0.01%
2022년 01월 20일,"1,192.42","1,188.21","1,193.88","1,187.19",0.36%
2022년 01월 19일,"1,188.13","1,193.03","1,193.94","1,186.66",-0.38%
2022년 01월 18일,"1,192.69","1,190.98","1,194.33","1,185.93",0.23%
2022년 01월 17일,"1,189.99","1,190.55","1,194.13","1,189.49",-0.01%
2022년 01월 14일,"1,190.07","1,186.77","1,192.42","1,185.67",0.33%
2022년 01월 13일,"1,186.11","1,185.96","1,189.94","1,184.04",0.02%
2022년 01월 12일,"1,185.87","1,190.55","1,193.20","1,185.11",-0.54%
2022년 01월 11일,"1,192.31","1,198.14","1,198.60","1,192.30",-0.48%
2022년 01월 10일,"1,198.04","1,198.20","1,201.81","1,195.95",0.03%
2022년 01월 07일,"1,197.63","1,205.03","1,205.78","1,197.32",-0.61%
2022년 01월 06일,"1,204.95","1,200.65","1,207.11","1,197.20",0.56%
2022년 01월 05일,"1,198.20","1,197.54","1,200.18","1,195.91",0.06%
2022년 01월 04일,"1,197.49","1,194.77","1,199.49","1,192.75",0.38%
2022년 01월 03일,"1,193.00","1,189.80","1,193.86","1,187.55",0.42%
